tract,tree,grassShrub,bare,water,buildings,roads,otherPaved,totalPixels,percentImp
244,1044220.125,944310.1096,0,0,1303615.238,570893.8041,670478.8841,4533518.16,0.561371508
245,2328750.18,1883620.219,2753.449228,0,1866650.614,927454.4813,1621880.575,8631109.519,0.511635921
246,1456830.59,1184809.003,4452.109445,0,1668669.216,779590.0586,1592883.376,6687234.352,0.604307018
247,2509734.978,2252899.353,159163.1626,0,1928121.318,1195860.792,2089925.952,10135705.55,0.514409977
248,555176.948,711150.7485,5960.80766,0,772224.5319,536817.6204,854850.0044,3436180.661,0.629737598
249,418811.2252,728435.2911,13627.27414,0,1117820.402,593425.2971,628262.3287,3500381.819,0.668357953
252,2162159.503,2563764.17,5477.904255,0,2588164.289,1244099.143,1687233.503,10250898.51,0.538440306
253,1183272.31,1484736.008,8535.292685,0,1576128.727,818483.2788,1186075.749,6257231.366,0.572247939
254,1968231.295,2203045.325,0,0,1545737.806,1260811.8,1307607.439,8285433.665,0.496553012
255,2736929.532,2378268.275,16008.79776,0,1319187.123,897149.5432,903737.2254,8251280.496,0.378132084
256,3722446.399,2564047.114,0,2471.505625,1381511.656,759414.0944,902828.4072,9332719.176,0.326137978
283,848234.3277,1577043.544,0,0,2282401.451,1354272.105,1181586.647,7243538.075,0.66518049
284,395985.791,1394895.979,0,0,1263269.308,1069632.041,1023316.306,5147099.426,0.652060001
285,306547.6813,449176.1513,0,0,883890.1954,464766.0328,868972.1795,2973352.24,0.745834408
286,876239.7258,1146132.739,0,0,2248583.216,1459557.045,2001649.61,7732162.336,0.738446714
287,288336.3241,296998.5914,0,0,1148719.222,588829.2165,1309673.026,3632556.38,0.83886419
288,440508.885,643456.2894,6146.770461,0,1608289.294,863337.3066,1318908.179,4880646.724,0.776646005
290,2151508.634,2057998.339,12812.43713,122331.53,1639668.017,1312959.369,1735482.851,9032761.177,0.519011866
291,2762635.39,1964487.044,0,9339.131893,3385908.717,1577763.4,4584987.865,14285121.55,0.668433933
292,7428518.074,5996634.493,11069.78571,157110.5732,1477091.537,1855829.778,2032043.53,18958297.77,0.282987688
293,839723.0302,1181784.608,9850.029699,2332.533423,2200142.905,834875.9998,2310912.748,7379621.854,0.724418101
294,664294.1212,931782.6155,0,0,2175090.917,1124658.035,2075912.755,6971738.443,0.771064742
298,609803.0211,1469707.015,0,0,1815213.903,1082643.439,2018028.334,6995395.711,0.702731608
333,1331547.651,3524077.079,0,0,1940256.89,1590709.81,2827039.507,11213630.94,0.566989073
334,1082408.486,3226071.689,30537.89151,0,2443918.143,2212280.478,4168487.177,13163703.86,0.670380152
335,570309.9209,2569859.951,13437.31213,0,2030508.837,1589026.147,3374507.997,10147650.17,0.689227838
336,1561672.619,3839051.075,0,0,2556169.689,2082044.529,2431595.608,12470533.52,0.5669212
338,2260542.824,4850465.761,0,0,2989820.946,1836180.709,3133152.276,15070162.52,0.528139887
339,3399382.022,3687791.331,50286.9411,6549.689866,1725286.891,1165013.962,2300401.851,12334712.69,0.420820722
340,1734829.982,2843727.169,0,231.9536023,1320687.823,1009917.986,1294296.102,8203691.016,0.441862316
341,2601924.537,4183736.127,56022.79376,0,2765900.737,1931651.612,3016632.583,14555868.39,0.529970781
342,2981568.597,3820842.717,0,3503.299235,1251522.658,760306.9158,1585033.946,10402778.13,0.345759899
9802,45559936.65,8147467.262,12217.55612,1929034.135,135596.8766,1484675.02,757231.531,58026159.03,0.040972959
344,11568328.99,11997861.07,20130.9732,43014.39583,4795870.682,3456936.509,5096838.479,36978981.09,0.361006314
346,4238538.165,4449646.937,114862.0241,10239.9517,3690787.732,1158755.214,6359455.918,20022285.94,0.559826131
64,1472450.466,1458961.164,0,88025.39228,1437192.518,1126882.59,1440806.795,7024318.925,0.570145226
65,3363632.173,4359619.945,3643.271236,116540.6884,1820713.803,1225245.914,1376822.594,12266218.39,0.360566082
66,664321.1158,1444240.109,11042.79111,0,1760010.945,1163509.263,1967352.47,7010476.694,0.697651942
363.01,4657475.365,5808437.138,34214.15614,115348.9268,4167421.391,2499927.939,8325464.657,25608289.57,0.585467215
364,11854750.69,20274807.43,2395894.749,171350.7247,3708575.174,2420982.731,7478526.07,48304887.57,0.281712362
366,867382.4975,1287215.518,19254.14859,14476617.24,1647561.438,2896015.71,4349534.963,25543581.52,0.348154471
348.03,2181834.568,6181226.569,40014.9958,20756.84801,1670709.808,1224504.062,2452877.351,13771924.2,0.388332897
347.02,1851323.68,4095718.733,28497.29969,0,1655077.935,1305497.861,1867367.47,10803482.98,0.446887664
362.02,1791233.7,4045701.738,0,1264.747013,2205938.746,1877990.346,2116722.592,12038851.87,0.515053408
38,870308.9121,1352325.494,17625.47438,0,3476784.539,1424264.104,4577687.325,11718995.85,0.808835167
83.02,349716.0463,612762.4291,1289.742013,0,1949036.134,801369.702,862819.4102,4576993.464,0.789432031
176.02,414771.0333,713355.3075,0,0,1216987.566,847240.5265,1096477.672,4288832.105,0.736961878
10.02,1208369.29,504644.056,0,0,1774658.015,515929.7986,1073088.35,5076689.51,0.662572757
10.01,610535.8745,212382.5171,0,0,826252.7247,243930.2066,576269.7288,2469371.052,0.666749802
4.02,125125.9711,93121.37293,0,0,1402793.399,686624.6545,961202.7306,3268868.128,0.933234583
4.01,89028.19169,116916.6132,0,136361.7236,868333.3073,639869.007,662605.459,2513114.302,0.863791898
122.04,1402642.429,3229134.076,4216.156642,512374.5097,1515146.925,871403.6931,2468651.196,10003568.99,0.485346962
122.03,571021.7785,306796.6315,0,0,378388.311,224158.1616,925423.8875,2405788.77,0.635122409
136.02,228017.3897,327243.5415,0,0,1102719.423,386998.5887,481119.7616,2526098.704,0.780190327
345.01,944970.9775,1287602.441,0,1910.617819,936459.68,414613.0649,1228657.232,4814214.013,0.535856937
345.02,1671897.57,2852570.4,0,0,2086731.591,1223188.326,3179674.97,11014062.86,0.589209901
11.02,385823.8237,170242.9463,0,0,945493.8729,239403.1122,455746.837,2196710.592,0.746863892
9.02,196164.7612,94151.16694,0,0,792092.5577,184614.0716,402873.4132,1669895.971,0.826147297
9.01,67861.42568,25577.88366,0,0,613247.3321,175512.8922,253396.3131,1135595.847,0.917717813
172.01,189387.1169,277309.5298,0,0,1198171.33,600185.9448,565350.9129,2830404.834,0.835113111
172.02,329513.0875,335938.8022,0,0,1314174.126,623740.2332,524124.1594,3127490.408,0.787224962
274.01,407853.4171,529838.0165,0,0,1148589.248,562340.515,867781.4177,3516402.614,0.733337864
201.01,673908.1981,970994.7719,0,0,1628569.237,740473.883,1191093.746,5205039.836,0.683978793
201.02,400031.9816,507508.4831,0,0,1573180.317,636848.6112,898567.2596,4016136.652,0.774026498
311.01,135874.821,470448.8961,0,0,1079071.153,787886.3991,1289727.016,3763008.285,0.838872606
311.02,375885.8116,820187.9378,14426.11434,0,1126014.763,759762.0248,1189444.075,4285720.727,0.717550456
195.02,245639.8647,375178.953,0,0,1385969.764,769936.9895,1209001.163,3985726.735,0.844239493
195.01,234578.0773,576544.6738,16292.74096,0,1437995.358,716104.7576,1258059.35,4239574.958,0.804835272
289.01,685308.9177,1445699.817,0,0,1423996.158,804417.0924,2068861.166,6428283.15,0.668494887
289.02,2516704.584,1936300.682,16149.76956,47444.50967,1458777.201,1008548.26,1361342.691,8345267.696,0.458783144
331.01,469239.1381,966459.6791,0,0,1492729.409,835837.8074,1477003.555,5241269.589,0.726078044
331.02,1256797.603,2188768.181,18999.19959,0,1485329.889,959308.1096,2042614.416,7951817.398,0.564305264
315.01,704578.0632,1150950.775,0,0,1766396.668,1008966.176,1690082.933,6320974.615,0.706448934
305.01,403060.3758,659231.134,0,0,1239797.003,721777.6228,1038208.327,4062074.463,0.738485466
305.02,1082533.461,1608373.277,40969.80481,0,1579920.968,1018382.293,1971245.692,7301425.496,0.625843399
98.02,719544.0696,1532619.43,0,0,1483169.322,862502.4736,1836562.632,6434397.927,0.649980694
180.01,317829.4246,786026.7711,44543.09005,48.99020049,1040163.936,864246.1248,1116823.602,4169681.939,0.724571732
177.02,324820.0262,639149.151,0,0,1893624.218,965453.8803,1443780.201,5266827.476,0.816973466
177.01,229401.1129,301197.7514,0,0,989798.0107,474376.1105,599136.1548,2593909.14,0.795444314
356.02,2952496.412,4862274.399,44401.11844,5635.872656,2583096.303,1524837.987,3055318.845,15028060.94,0.47665851
